,Canada,Soviet Union,China,Belarus,France,Switzerland,Bulgaria,Russia,South Korea,Finland,Australia,Romania,United States,Germany,Yugoslavia,Sweden,Czechoslovakia,East Germany,Hungary,Great Britain,Japan,Uzbekistan,Italy,Ukraine,Unified Team
1904,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0
1912,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
1932,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1948,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,4,1,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,8,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
1964,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0
1968,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0
1980,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0
1984,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,0,0
1996,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0
2000,2,0,0,2,3,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,3,0,0,0,0
2004,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,3,0,6,0,0
2008,0,0,0,4,11,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0
2012,0,0,0,3,7,0,0,0,0,2,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0
