wrestling,,,1904 St. Louis,1,Isidor Niflot,United States,
wrestling,,,1904 St. Louis,2,August Wester,United States,
wrestling,,,1904 St. Louis,3,Louis Strebler,United States,
wrestling,,,1908 London,1,George Mehnert,United States,
wrestling,,,1908 London,2,William J. Press,Great Britain,
wrestling,,,1908 London,3,Aubert Cote,Canada,
wrestling,,,1924 Paris,1,Kustaa Pihlajamäki,Finland,
wrestling,,,1924 Paris,2,Kaarlo Mäkinen,Finland,
wrestling,,,1924 Paris,3,Bryan Hines,United States,
wrestling,,,1928 Amsterdam,1,Kaarlo Mäkinen,Finland,
wrestling,,,1928 Amsterdam,2,Edmond Spapen,Belgium,
wrestling,,,1928 Amsterdam,3,James Trifunov,Canada,
wrestling,,,1932 Los Angeles,1,Robert Pearce,United States,
wrestling,,,1932 Los Angeles,2,Ödön Zombori,Hungary,
wrestling,,,1932 Los Angeles,3,Aatos Jaskari,Finland,
wrestling,,,1936 Berlin,1,Ödön Zombori,Hungary,
wrestling,,,1936 Berlin,2,Ross Flood,United States,
wrestling,,,1936 Berlin,3,Johannes Herbert,Germany,
wrestling,,,1948 London,1,Nasuh Akar,Turkey,
wrestling,,,1948 London,2,Gerald Leeman,United States,
wrestling,,,1948 London,3,Charles Kouyos,France,
wrestling,,,1952 Helsinki,1,Shohachi Ishii,Japan,
wrestling,,,1952 Helsinki,2,Rashid Mamedbekov,Soviet Union,
wrestling,,,1952 Helsinki,3,Khashaba Dadasaheb Jadhav,India,
wrestling,,,1956 Melbourne,1,Mustafa Dağıstanlı,Turkey,
wrestling,,,1956 Melbourne,2,Mehdi Yaghoubi,Iran,
wrestling,,,1956 Melbourne,3,Mikhail Shakhov,Soviet Union,
wrestling,,,1960 Rome,1,Terrence McCann,United States,
wrestling,,,1960 Rome,2,Nezhdet Zalev,Bulgaria,
wrestling,,,1960 Rome,3,Tadeusz Trojanowski,Poland,
wrestling,,,1964 Tokyo,1,Yojiro Uetake,Japan,
wrestling,,,1964 Tokyo,2,Hüseyin Akbaş,Turkey,
wrestling,,,1964 Tokyo,3,Aydin Ibragimov,Soviet Union,
wrestling,,,1968 Mexico City,1,Yojiro Uetake,Japan,
wrestling,,,1968 Mexico City,2,Donald Behm,United States,
wrestling,,,1968 Mexico City,3,Aboutaleb Talebi,Iran,
wrestling,,,1972 Munich,1,Hideaki Yanagida,Japan,
wrestling,,,1972 Munich,2,Richard Sanders,United States,
wrestling,,,1972 Munich,3,László Klinga,Hungary,
wrestling,,,1976 Montreal,1,Vladimir Yumin,Soviet Union,
wrestling,,,1976 Montreal,2,Hans-Dieter Brüchert,East Germany,
wrestling,,,1976 Montreal,3,Masao Arai,Japan,
wrestling,,,1980 Moscow,1,Sergei Beloglazov,Soviet Union,
wrestling,,,1980 Moscow,2,Li Ho-Pyong,North Korea,
wrestling,,,1980 Moscow,3,Dugarsürengiin Oyuunbold,Mongolia,
wrestling,,,1984 Los Angeles,1,Hideaki Tomiyama,Japan,
wrestling,,,1984 Los Angeles,2,Barry Davis,United States,
wrestling,,,1984 Los Angeles,3,Kim Eui-Kon,South Korea,
wrestling,,,1988 Seoul,1,Sergei Beloglazov,Soviet Union,
wrestling,,,1988 Seoul,2,Askari Mohammadian,Iran,
wrestling,,,1988 Seoul,3,Noh Kyung-Sun,South Korea,
wrestling,,,1992 Barcelona,1,Alejandro Puerto,Cuba,
wrestling,,,1992 Barcelona,2,Sergei Smal,Unified Team,
wrestling,,,1992 Barcelona,3,Kim Yong-Sik,North Korea,
wrestling,,,1996 Atlanta,1,Kendall Cross,United States,
wrestling,,,1996 Atlanta,2,Guivi Sissaouri,Canada,
wrestling,,,1996 Atlanta,3,Ri Yong-Sam,North Korea,
wrestling,,,2000 Sydney,1,Alireza Dabir,Iran,
wrestling,,,2000 Sydney,2,Yevgen Buslovych,Ukraine,
wrestling,,,2000 Sydney,3,Terry Brands,United States,
wrestling,,,2004 Athens,1,Mavlet Batirov,Russia,
wrestling,,,2004 Athens,2,Stephen Abas,United States,
wrestling,,,2004 Athens,3,Chikara Tanabe,Japan,
wrestling,,,2008 Beijing,1,Henry Cejudo,United States,
wrestling,,,2008 Beijing,2,Tomohiro Matsunaga,Japan,
wrestling,,,2008 Beijing,3,Besik Kudukhov,Russia,
wrestling,,,2008 Beijing,3,Radoslav Velikov,Bulgaria,
wrestling,,,2012 London,1,Djamal Otarsultanov,Russia,
wrestling,,,2012 London,2,Vladimer Khinchegashvili,Georgia,
wrestling,,,2012 London,3,Yang Kyong-Il,North Korea,
wrestling,,,2012 London,3,Shinichi Yumoto,Japan,
wrestling,,,1904 St. Louis,1,Otto Roehm,United States,
wrestling,,,1904 St. Louis,2,Rudolph Tesing,United States,
wrestling,,,1904 St. Louis,3,Albert Zirkel,United States,
wrestling,,,1908 London,1,George de Relwyskow,Great Britain,
wrestling,,,1908 London,2,William Wood,Great Britain,
wrestling,,,1908 London,3,Albert Gingell,Great Britain,
wrestling,,,1920 Antwerp,1,Kalle Anttila,Finland,
wrestling,,,1920 Antwerp,2,Gottfrid Svensson,Sweden,
wrestling,,,1920 Antwerp,3,Peter Wright,Great Britain,
wrestling,,,1924 Paris,1,Russell Vis,United States,
wrestling,,,1924 Paris,2,Volmar Wikström,Finland,
wrestling,,,1924 Paris,3,Arvo Haavisto,Finland,
wrestling,,,1928 Amsterdam,1,Osvald Käpp,Estonia,
wrestling,,,1928 Amsterdam,2,Charles Pacôme,France,
wrestling,,,1928 Amsterdam,3,Eino Augusti Leino,Finland,
wrestling,,,1932 Los Angeles,1,Charles Pacôme,France,
wrestling,,,1932 Los Angeles,2,Károly Kárpáti,Hungary,
wrestling,,,1932 Los Angeles,3,Gustaf Klarén,Sweden,
wrestling,,,1936 Berlin,1,Károly Kárpáti,Hungary,
wrestling,,,1936 Berlin,2,Wolfgang Ehrl,Germany,
wrestling,,,1936 Berlin,3,Hermanni Pihlajamäki,Finland,
wrestling,,,1948 London,1,Celal Atik,Turkey,
wrestling,,,1948 London,2,Gösta Frändfors,Sweden,
wrestling,,,1948 London,3,Hermann Baumann,Switzerland,
wrestling,,,1952 Helsinki,1,Olle Anderberg,Sweden,
wrestling,,,1952 Helsinki,2,Jay Thomas Evans,United States,
wrestling,,,1952 Helsinki,3,Jahanbakht Towfigh,Iran,
wrestling,,,1956 Melbourne,1,Imam-Ali Habibi,Iran,
wrestling,,,1956 Melbourne,2,Shigeru Kasahara,Japan,
wrestling,,,1956 Melbourne,3,Alimbeg Bestayev,Soviet Union,
wrestling,,,1960 Rome,1,Shelby Wilson,United States,
wrestling,,,1960 Rome,2,Vladimir Synyavsky,Soviet Union,
wrestling,,,1960 Rome,3,Enyu Valchev,Bulgaria,
wrestling,,,1964 Tokyo,1,Enyu Valchev,Bulgaria,
wrestling,,,1964 Tokyo,2,Klaus Rost,Germany,
wrestling,,,1964 Tokyo,3,Iwao Horiuchi,Japan,
wrestling,,,1968 Mexico City,1,Abdollah Movahed,Iran,
wrestling,,,1968 Mexico City,2,Enyu Valchev,Bulgaria,
wrestling,,,1968 Mexico City,3,Danzandarjaagiin Sereeter,Mongolia,
wrestling,,,1972 Munich,1,Dan Gable,United States,
wrestling,,,1972 Munich,2,Kikuo Wada,Japan,
wrestling,,,1972 Munich,3,Ruslan Ashuraliyev,Soviet Union,
wrestling,,,1976 Montreal,1,Pavel Pinigin,Soviet Union,
wrestling,,,1976 Montreal,2,Lloyd Keaser,United States,
wrestling,,,1976 Montreal,3,Yasaburo Sugawara,Japan,
wrestling,,,1980 Moscow,1,Saypulla Absaidov,Soviet Union,
