archery,F, Women's events,1992 Barcelona,1, (Cho Youn-Jeong),South Korea,KOR,Asia
archery,F, Women's events,1992 Barcelona,2, (Kim Soo-Nyung),South Korea,KOR,Asia
archery,F, Women's events,1992 Barcelona,3, (Natalia Valeeva),Unified Team,EUN,Asia
archery,F, Women's events,1996 Atlanta,1, (Kim Kyung-Wook),South Korea,KOR,Asia
archery,F, Women's events,1996 Atlanta,2, (He Ying),China,CHN,Asia
archery,F, Women's events,1996 Atlanta,3, (Olena Sadovnycha),Ukraine,UKR,Europe
archery,F, Women's events,2000 Sydney,1, (Yun Mi-Jin),South Korea,KOR,Asia
archery,F, Women's events,2000 Sydney,2, (Kim Nam-Soon),South Korea,KOR,Asia
archery,F, Women's events,2000 Sydney,3, (Kim Soo-Nyung),South Korea,KOR,Asia
archery,F, Women's events,2004 Athens,1, (Park Sung-Hyun),South Korea,KOR,Asia
archery,F, Women's events,2004 Athens,2, (Lee Sung-Jin),South Korea,KOR,Asia
archery,F, Women's events,2004 Athens,3, (Alison Williamson),Great Britain,GBR,Europe
archery,F, Women's events,2008 Beijing,1, (Zhang Juanjuan),China,CHN,Asia
archery,F, Women's events,2008 Beijing,2, (Park Sung-Hyun),South Korea,KOR,Asia
archery,F, Women's events,2008 Beijing,3, (Yun Ok-Hee),South Korea,KOR,Asia
archery,F, Women's events,2012 London,1, (Ki Bo-bae),South Korea,KOR,Asia
archery,F, Women's events,2012 London,2, (Aída Román),Mexico,MEX,North America
archery,F, Women's events,2012 London,3, (Mariana Avitia),Mexico,MEX,North America
archery,F, Women's events,1988 Seoul,1, (),South Korea,KOR,Asia
archery,F, Women's events,1988 Seoul,2, (),Indonesia,IDN,Asia
archery,F, Women's events,1988 Seoul,3, (),United States,USA,North America
archery,F, Women's events,1992 Barcelona,1, (),South Korea,KOR,Asia
archery,F, Women's events,1992 Barcelona,2, (),China,CHN,Asia
archery,F, Women's events,1992 Barcelona,3, (),Unified Team,EUN,Asia
archery,F, Women's events,1996 Atlanta,1, (),South Korea,KOR,Asia
archery,F, Women's events,1996 Atlanta,2, (),Germany,GER,Europe
archery,F, Women's events,1996 Atlanta,3, (),Poland,POL,Europe
archery,F, Women's events,2000 Sydney,1, (),South Korea,KOR,Asia
archery,F, Women's events,2000 Sydney,2, (),Ukraine,UKR,Europe
archery,F, Women's events,2000 Sydney,3, (),Germany,GER,Europe
archery,F, Women's events,2004 Athens,1, (),South Korea,KOR,Asia
archery,F, Women's events,2004 Athens,2, (),China,CHN,Asia
archery,F, Women's events,2004 Athens,3, (),Chinese Taipei,

archery,F, Women's events,2008 Beijing,1, (),South Korea,KOR,Asia
archery,F, Women's events,2008 Beijing,2, (),China,CHN,Asia
archery,F, Women's events,2008 Beijing,3, (),France,FRA,Europe
archery,F, Women's events,2012 London,1, (),South Korea,KOR,Asia
archery,F, Women's events,2012 London,2, (),China,CHN,Asia
archery,F, Women's events,2012 London,3, (),Japan,JPN,Asia
athletics,M,100 metres,1896 Athens,1, Thomas Burke,United States,USA,North America
athletics,M,100 metres,1896 Athens,2, Fritz Hofmann,Germany,GER,Europe
athletics,M,100 metres,1896 Athens,3, Francis Lane,United States,USA,North America
athletics,M,100 metres,1900 Paris,1, Frank Jarvis,United States,USA,North America
athletics,M,100 metres,1900 Paris,2, Walter Tewksbury,United States,USA,North America
athletics,M,100 metres,1900 Paris,3, Stan Rowley,Australia,AUS,Oceania
athletics,M,100 metres,1904 St. Louis,1, Archie Hahn,United States,USA,North America
athletics,M,100 metres,1904 St. Louis,2, Nate Cartmell,United States,USA,North America
athletics,M,100 metres,1904 St. Louis,3, William Hogenson,United States,USA,North America
athletics,M,100 metres,1908 London,1, Reggie Walker,South Africa,RSA,Africa
athletics,M,100 metres,1908 London,2, James Rector,United States,USA,North America
athletics,M,100 metres,1908 London,3, Robert Kerr,Canada,CAN,North America
athletics,M,100 metres,1912 Stockholm,1, Ralph Craig,United States,USA,North America
athletics,M,100 metres,1912 Stockholm,2, Alvah Meyer,United States,USA,North America
athletics,M,100 metres,1912 Stockholm,3, Donald Lippincott,United States,USA,North America
athletics,M,100 metres,1920 Antwerp,1, Charlie Paddock,United States,USA,North America
athletics,M,100 metres,1920 Antwerp,2, Morris Kirksey,United States,USA,North America
athletics,M,100 metres,1920 Antwerp,3, Harry Edward,Great Britain,GBR,Europe
athletics,M,100 metres,1924 Paris,1, Harold Abrahams,Great Britain,GBR,Europe
athletics,M,100 metres,1924 Paris,2, Jackson Scholz,United States,USA,North America
athletics,M,100 metres,1924 Paris,3, Arthur Porritt,New Zealand,NZL,Oceania
athletics,M,100 metres,1928 Amsterdam,1, Percy Williams,Canada,CAN,North America
athletics,M,100 metres,1928 Amsterdam,2, Jack London,Great Britain,GBR,Europe
athletics,M,100 metres,1928 Amsterdam,3, Georg Lammers,Germany,GER,Europe
athletics,M,100 metres,1932 Los Angeles,1, Eddie Tolan,United States,USA,North America
athletics,M,100 metres,1932 Los Angeles,2, Ralph Metcalfe,United States,USA,North America
